IndicatorId,Category,CategoryType,Age,Sex,Trend,Denominator,CategoryTypeId,UpperCI,Value,Count,AreaCode,SexID,AgeID,Year,LowerCI,CategoryId
241,"","",17+ yrs,Persons,"",47886072,,6.93878531830596,6.93158962798202,3319266,E92000001,4,187,2018,6.92439909041205,
241,"","",17+ yrs,Persons,"",9241,,8.45602237036968,7.88875662807056,729,A82003,4,187,2018,7.35648739880458,
241,"","",17+ yrs,Persons,"",7812,,8.3847003929093,7.77009728622632,607,A82007,4,187,2018,7.19700587937286,
241,"","",17+ yrs,Persons,"",9041,,9.15546935978751,8.56099988939277,774,A82008,4,187,2018,8.00172975626012,
241,"","",17+ yrs,Persons,"",7241,,9.14335713330518,8.47949178290291,614,A82009,4,187,2018,7.85965757477943,
241,"","",17+ yrs,Persons,"",5542,,8.07944675402705,7.36196319018405,408,A82010,4,187,2018,6.70354812435577,
241,"","",17+ yrs,Persons,"",7220,,7.10218134020711,6.50969529085873,470,A82039,4,187,2018,5.96346336145247,
241,"","",17+ yrs,Persons,"",3902,,9.18395746755768,8.27780625320349,323,A82062,4,187,2018,7.45372395581743,
241,"","",17+ yrs,Persons,"",3725,,7.89976550582501,7.03355704697987,262,A82068,4,187,2018,6.25587679352961,
241,"","",17+ yrs,Persons,"",3590,,6.81309177215158,5.98885793871866,215,A82071,4,187,2018,5.25871116606311,
241,"","",17+ yrs,Persons,"",5436,,8.44713664436683,7.70787343635026,419,A82072,4,187,2018,7.02834118331231,
241,"","",17+ yrs,Persons,"",4264,,6.63346531447932,5.88649155722326,251,A82077,4,187,2018,5.21893041533933,
241,"","",17+ yrs,Persons,"",2752,,8.9902040270283,7.92151162790698,218,A82629,4,187,2018,6.97012843015577,
241,"","",17+ yrs,Persons,"",2799,,7.02007945615887,6.0735977134691,170,A82651,4,187,2018,5.24752339874419,
241,"","",17+ yrs,Persons,"",105822,,8.47524562655148,8.30829128158606,8792,E06000006,4,187,2018,8.14356860403842,
241,"","",17+ yrs,Persons,"",177006,,6.98548730290602,6.86699885879575,12155,E06000007,4,187,2018,6.74990718116629,
241,"","",17+ yrs,Persons,"",141041,,8.65008593991156,8.50391021050616,11994,E06000008,4,187,2018,8.35939824388568,
241,"","",17+ yrs,Persons,"",142665,,8.24952377804028,8.10710405495391,11566,E06000009,4,187,2018,7.96635052460315,
241,"","",17+ yrs,Persons,"",330081,,6.68858342674131,6.60353064853778,21797,E06000049,4,187,2018,6.51923302654435,
241,"","",17+ yrs,Persons,"",302186,,6.85529331495512,6.76536967298287,20444,E06000050,4,187,2018,6.6762667807115,
241,"","",17+ yrs,Persons,"",231050,,8.11326047714337,8.00216403375893,18489,E06000063,4,187,2018,7.89209990401736,
241,"","",17+ yrs,Persons,"",199905,,6.94291452980035,6.83174507891248,13657,E06000064,4,187,2018,6.72181375367932,
241,"","",17+ yrs,Persons,"",90806,,7.13083504604116,6.96429751338017,6324,E07000117,4,187,2018,6.80047437677819,
241,"","",17+ yrs,Persons,"",90622,,6.75690277897441,6.59442519476507,5976,E07000118,4,187,2018,6.43469887410619,
241,"","",17+ yrs,Persons,"",61127,,6.99319672031629,6.7924157900764,4152,E07000119,4,187,2018,6.5956886962141,
241,"","",17+ yrs,Persons,"",62267,,8.41244453628298,8.19535227327477,5103,E07000120,4,187,2018,7.9820665395809,
241,"","",17+ yrs,Persons,"",125299,,6.72730155346897,6.58903901866735,8256,E07000121,4,187,2018,6.45276667780691,
241,"","",17+ yrs,Persons,"",73327,,8.10232077227217,7.90568276351139,5797,E07000122,4,187,2018,7.71230751958011,
241,"","",17+ yrs,Persons,"",124950,,6.55442033984931,6.41776710684274,8019,E07000123,4,187,2018,6.28312015728412,
241,"","",17+ yrs,Persons,"",47542,,6.32337110408262,6.10617979891464,2903,E07000124,4,187,2018,5.89431149815118,
241,"","",17+ yrs,Persons,"",58727,,7.57438492196486,7.36117969588094,4323,E07000125,4,187,2018,7.15211956046159,
241,"","",17+ yrs,Persons,"",103890,,6.36707614918823,6.21907787082491,6461,E07000126,4,187,2018,6.0735072564441,
241,"","",17+ yrs,Persons,"",95883,,7.14488025235685,6.98246821647216,6695,E07000127,4,187,2018,6.82262539934586,
241,"","",17+ yrs,Persons,"",88115,,7.76621649434426,7.5900811439596,6688,E07000128,4,187,2018,7.41668852177788,
241,"","",17+ yrs,Persons,"",243308,,8.47020016635235,8.3597744422707,20340,E08000001,4,187,2018,8.25031773202761,
241,"","",17+ yrs,Persons,"",162693,,7.64765922216705,7.51906965880523,12233,E08000002,4,187,2018,7.39196894799212,
241,"","",17+ yrs,Persons,"",520962,,6.49466765522562,6.4279160476196,33487,E08000003,4,187,2018,6.36164549813765,
241,"","",17+ yrs,Persons,"",188049,,8.66006590151213,8.53341416332977,16047,E08000004,4,187,2018,8.40800908794689,
241,"","",17+ yrs,Persons,"",183560,,8.75826081663615,8.62933100893441,15840,E08000005,4,187,2018,8.50167433628312,
241,"","",17+ yrs,Persons,"",221391,,6.6539490725849,6.55040177785005,14502,E08000006,4,187,2018,6.44798221400982,
241,"","",17+ yrs,Persons,"",252385,,6.81032485455758,6.7123640469917,16941,E08000007,4,187,2018,6.61538755180037,
241,"","",17+ yrs,Persons,"",181626,,8.16082857362433,8.03519319921157,14594,E08000008,4,187,2018,7.91086964817818,
241,"","",17+ yrs,Persons,"",191844,,6.62816944058734,6.51727445215905,12503,E08000009,4,187,2018,6.4076822061293,
241,"","",17+ yrs,Persons,"",267013,,7.8101815174142,7.70861343829701,20583,E08000010,4,187,2018,7.60794708266853,
241,"","",17+ yrs,Persons,"",128769,,8.04750433600854,7.89941678509579,10172,E08000011,4,187,2018,7.7531876185187,
241,"","",17+ yrs,Persons,"",452200,,6.53134655042278,6.45953118089341,29210,E08000012,4,187,2018,6.38826948192359,
241,"","",17+ yrs,Persons,"",160999,,8.11258974167901,7.97955266802899,12847,E08000013,4,187,2018,7.84799813811469,
241,"","",17+ yrs,Persons,"",225473,,7.4794821015266,7.3711708275492,16620,E08000014,4,187,2018,7.26393890123356,
241,"","",17+ yrs,Persons,"",273416,,7.37345903370964,7.27572636568453,19893,E08000015,4,187,2018,7.17888646825078,
241,"","",17+ yrs,Persons,"",1022555,,6.96302228421613,6.91376014004137,70697,E10000017,4,187,2018,6.86473943150849,
241,"","",17+ yrs,Persons,"",141041,,8.65061752422705,8.50391021050616,11994,E38000014,4,187,2018,8.35946324914553,
241,"","",17+ yrs,Persons,"",142665,,8.2498672309582,8.10710405495391,11566,E38000015,4,187,2018,7.96659687027902,
241,"","",17+ yrs,Persons,"",149779,,6.98653670222105,6.85743662329165,10271,E38000034,4,187,2018,6.73054948649923,
241,"","",17+ yrs,Persons,"",317500,,7.51437514777726,7.42267716535433,23567,E38000050,4,187,2018,7.33200946358321,
241,"","",17+ yrs,Persons,"",105822,,8.47610424314589,8.30829128158606,8792,E38000068,4,187,2018,8.14350512293181,
241,"","",17+ yrs,Persons,"",132941,,8.01713698334482,7.87116089092154,10464,E38000091,4,187,2018,7.72761943528184,
241,"","",17+ yrs,Persons,"",444838,,6.53362305350398,6.46100378115179,28741,E38000101,4,187,2018,6.3891364761079,
241,"","",17+ yrs,Persons,"",127294,,7.30590317931008,7.16294562194604,9118,E38000161,4,187,2018,7.02257344668288,
241,"","",17+ yrs,Persons,"",101369,,7.73979480510975,7.57529422209946,7679,E38000170,4,187,2018,7.41400895312951,
241,"","",17+ yrs,Persons,"",160999,,8.11292088512436,7.97955266802899,12847,E38000172,4,187,2018,7.84818963067568,
241,"","",17+ yrs,Persons,"",177006,,6.98574933005222,6.86699885879575,12155,E38000194,4,187,2018,6.75012052805227,
241,"","",17+ yrs,Persons,"",95883,,7.14550864808042,6.98246821647216,6695,E38000200,4,187,2018,6.82287455763064,
